epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3089.99,0.64943,0.44888,0.00588,0.94777,0.88751,0.9509,0.82338,0.55591,0.3676,0.00771,0.000848969,0.000848969,0.000848969
43,3164.85,0.61672,0.41528,0.00537,0.9035,0.89261,0.9275,0.7923,0.63205,0.52635,0.00918,0.000834822,0.000834822,0.000834822
44,3238.44,0.61419,0.40422,0.00563,0.91081,0.8906,0.93246,0.79912,0.57237,0.49375,0.00776,0.000820675,0.000820675,0.000820675
45,3313.74,0.62022,0.40945,0.00565,0.95016,0.86514,0.94821,0.81527,0.52563,0.34667,0.00684,0.000806528,0.000806528,0.000806528
46,3387.05,0.61966,0.41334,0.00574,0.88344,0.92714,0.94728,0.82542,0.48355,0.34154,0.0062,0.00079238,0.00079238,0.00079238
47,3465.3,0.62403,0.41521,0.00552,0.93534,0.88297,0.94765,0.81692,0.50414,0.3407,0.00635,0.000778233,0.000778233,0.000778233
48,3538.13,0.61776,0.39985,0.00554,0.94213,0.88194,0.94789,0.80998,0.5445,0.47171,0.00756,0.000764086,0.000764086,0.000764086
49,3609.2,0.60412,0.38708,0.00546,0.94247,0.88089,0.94059,0.8099,0.53797,0.37909,0.00734,0.000749939,0.000749939,0.000749939
50,3688.54,0.59617,0.40398,0.00529,0.9311,0.89177,0.94254,0.81473,0.49333,0.39278,0.00609,0.000735792,0.000735792,0.000735792
51,3760.75,0.60173,0.39193,0.00572,0.9424,0.88673,0.94257,0.81554,0.51928,0.36054,0.00692,0.000721645,0.000721645,0.000721645
52,3832.55,0.59739,0.38377,0.00527,0.95861,0.90824,0.94952,0.83058,0.51412,0.44544,0.00717,0.000707498,0.000707498,0.000707498
53,3905.6,0.55802,0.37296,0.00513,0.93917,0.88818,0.94739,0.82226,0.54671,0.46695,0.00786,0.000693351,0.000693351,0.000693351
54,3978.95,0.58208,0.3645,0.00521,0.94196,0.90298,0.94795,0.82935,0.52927,0.35303,0.00693,0.000679204,0.000679204,0.000679204
55,4053.61,0.60824,0.37188,0.00541,0.94089,0.89426,0.9516,0.83505,0.52568,0.34241,0.00682,0.000665057,0.000665057,0.000665057
56,4126.15,0.58225,0.36843,0.00522,0.93383,0.91569,0.95177,0.84176,0.49892,0.30848,0.00651,0.000650909,0.000650909,0.000650909
57,4204.77,0.58914,0.36753,0.00547,0.93671,0.92059,0.94382,0.84028,0.46096,0.30868,0.00592,0.000636762,0.000636762,0.000636762
58,4277.99,0.54988,0.35281,0.00487,0.8852,0.93121,0.94618,0.824,0.50544,0.33562,0.00654,0.000622615,0.000622615,0.000622615
59,4350.54,0.57722,0.34238,0.00509,0.94259,0.93034,0.95716,0.83176,0.55692,0.30259,0.00771,0.000608468,0.000608468,0.000608468
60,4422.29,0.54662,0.34098,0.00481,0.96691,0.87776,0.952,0.83821,0.54816,0.33035,0.00789,0.000594321,0.000594321,0.000594321
61,4492.98,0.56491,0.34212,0.00515,0.93798,0.90877,0.94208,0.82176,0.50682,0.343,0.00678,0.000580174,0.000580174,0.000580174
