epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6171,1.20562,5.35243,0.01301,0.48167,0.5828,0.55083,0.39606,0.84554,2.78919,0.01034,0.00045728,0.00045728,0.00045728
2,42.0517,1.20879,2.12442,0.01243,0.65414,0.59994,0.66797,0.42427,1.20582,1.53873,0.01607,0.000928793,0.000928793,0.000928793
3,53.1621,1.29293,1.49231,0.0136,0.69281,0.64586,0.67051,0.38035,1.423,1.59255,0.02046,0.00140008,0.00140008,0.00140008
4,63.8864,1.27188,1.36605,0.01407,0.77261,0.77112,0.85929,0.54815,1.28425,1.08538,0.01749,0.00142821,0.00142821,0.00142821
5,74.5878,1.27876,1.16952,0.01365,0.75311,0.73414,0.80913,0.52606,1.38864,1.05093,0.01844,0.0014276,0.0014276,0.0014276
6,85.2297,1.27042,1.07787,0.01371,0.76457,0.85297,0.88323,0.63278,1.40306,0.78243,0.01998,0.00142682,0.00142682,0.00142682
7,95.9533,1.24997,1.06786,0.01379,0.83316,0.84879,0.89732,0.61872,1.30943,1.00503,0.01756,0.00142586,0.00142586,0.00142586
8,106.669,1.22421,0.97058,0.01284,0.81066,0.76955,0.87517,0.63235,1.04612,1.07566,0.0137,0.00142473,0.00142473,0.00142473
9,117.353,1.20306,0.96729,0.01316,0.77022,0.80849,0.87185,0.61863,0.8811,1.33014,0.01124,0.00142342,0.00142342,0.00142342
10,127.989,1.25568,0.98814,0.0137,0.75527,0.7923,0.84848,0.40217,1.65918,1.00538,0.02267,0.00142194,0.00142194,0.00142194
11,138.581,1.23414,0.91646,0.01365,0.81861,0.806,0.86475,0.63746,0.90366,0.93815,0.01143,0.00142029,0.00142029,0.00142029
12,149.414,1.20316,0.93137,0.01327,0.83871,0.84346,0.89544,0.60847,1.17394,0.89479,0.01531,0.00141847,0.00141847,0.00141847
13,160.02,1.17285,0.87647,0.0126,0.89444,0.8095,0.91188,0.69904,0.8537,0.78026,0.01094,0.00141647,0.00141647,0.00141647
14,170.621,1.14789,0.82818,0.01236,0.85601,0.89558,0.92072,0.69728,0.90493,0.75647,0.01173,0.0014143,0.0014143,0.0014143
15,181.185,1.14879,0.90403,0.01225,0.92849,0.80003,0.90271,0.69903,0.77632,0.83704,0.00967,0.00141196,0.00141196,0.00141196
16,191.774,1.11546,0.85498,0.01172,0.83047,0.80876,0.87232,0.66603,0.81585,1.20045,0.01008,0.00140946,0.00140946,0.00140946
17,202.36,1.10122,0.80105,0.01152,0.8195,0.85419,0.92596,0.66146,1.18366,0.78559,0.01535,0.00140678,0.00140678,0.00140678
18,212.998,1.10548,0.78963,0.01143,0.8304,0.8636,0.89108,0.68676,0.76025,1.14051,0.00978,0.00140393,0.00140393,0.00140393
19,223.786,1.11901,0.80549,0.012,0.80903,0.87288,0.91753,0.7034,0.80036,0.89052,0.00954,0.00140091,0.00140091,0.00140091
20,234.712,1.09388,0.80493,0.01159,0.83745,0.85814,0.89342,0.7202,0.7308,0.83888,0.00913,0.00139773,0.00139773,0.00139773
21,245.536,1.11036,0.83153,0.01219,0.87258,0.85172,0.90647,0.69013,1.00894,0.78992,0.01304,0.00139438,0.00139438,0.00139438
22,256.187,1.06889,0.74707,0.0114,0.92938,0.86063,0.92222,0.73412,0.74741,0.71155,0.00922,0.00139086,0.00139086,0.00139086
23,266.922,1.09495,0.74759,0.0114,0.82486,0.90554,0.91667,0.73444,0.70723,0.47565,0.00858,0.00138718,0.00138718,0.00138718
24,277.865,1.09369,0.75341,0.01156,0.88139,0.85526,0.89987,0.66418,1.05361,0.64177,0.01345,0.00138334,0.00138334,0.00138334
25,288.465,1.05791,0.74674,0.01128,0.87053,0.81416,0.89109,0.71081,0.75565,0.75522,0.00903,0.00137933,0.00137933,0.00137933
26,299.207,1.09895,0.73068,0.01167,0.91367,0.81958,0.9211,0.70224,0.97454,0.97329,0.01241,0.00137516,0.00137516,0.00137516
27,309.8,1.08891,0.71647,0.01163,0.86165,0.86752,0.91403,0.71792,0.82867,0.67063,0.01086,0.00137082,0.00137082,0.00137082
28,320.445,1.06579,0.72904,0.01133,0.85613,0.86939,0.92955,0.7214,0.8209,1.00835,0.01043,0.00136633,0.00136633,0.00136633
