epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.799,0.86407,5.12957,0.00853,0.59979,0.53246,0.59603,0.44137,0.75167,2.84862,0.00889,0.00045728,0.00045728,0.00045728
2,40.1265,0.91574,1.89736,0.00848,0.71673,0.7423,0.74273,0.57841,0.72369,1.2602,0.00912,0.000928793,0.000928793,0.000928793
3,51.4164,0.9881,1.22569,0.00948,0.79172,0.70288,0.79439,0.59202,0.92357,1.16978,0.01198,0.00140008,0.00140008,0.00140008
4,62.5835,1.00841,1.07232,0.01012,0.78685,0.70824,0.81274,0.59531,0.84823,1.07184,0.01145,0.00142821,0.00142821,0.00142821
5,73.562,0.97058,0.9036,0.00927,0.82199,0.79389,0.8573,0.67372,0.83555,0.83594,0.01086,0.0014276,0.0014276,0.0014276
6,84.6518,0.95837,0.85873,0.00942,0.87657,0.75977,0.87756,0.69422,0.89532,0.79304,0.01252,0.00142682,0.00142682,0.00142682
7,95.4347,0.98873,0.87716,0.00996,0.75734,0.80255,0.8784,0.68449,0.908,0.93444,0.01184,0.00142586,0.00142586,0.00142586
8,107.927,0.94737,0.77716,0.00888,0.83724,0.80024,0.87173,0.70814,0.80278,0.70287,0.0107,0.00142473,0.00142473,0.00142473
9,120.636,0.93316,0.76258,0.00925,0.84315,0.84276,0.89801,0.73503,0.8232,0.73238,0.01083,0.00142342,0.00142342,0.00142342
10,132.166,0.96585,0.80976,0.00959,0.8536,0.82612,0.90208,0.70489,0.80808,0.94943,0.01012,0.00142194,0.00142194,0.00142194
11,143.185,0.90872,0.71785,0.00908,0.85676,0.82457,0.90082,0.67835,0.87693,1.11169,0.01074,0.00142029,0.00142029,0.00142029
12,153.998,0.92526,0.76913,0.00915,0.83654,0.8528,0.89291,0.72013,0.89397,0.84694,0.01173,0.00141847,0.00141847,0.00141847
13,164.66,0.90178,0.73957,0.00872,0.92773,0.82332,0.91987,0.75589,0.68856,0.5616,0.00884,0.00141647,0.00141647,0.00141647
14,175.482,0.89047,0.66574,0.00866,0.85268,0.83009,0.89696,0.72949,0.69003,0.82381,0.00881,0.0014143,0.0014143,0.0014143
15,187.354,0.88178,0.69287,0.00844,0.8521,0.86551,0.89564,0.72468,0.71496,0.85513,0.00866,0.00141196,0.00141196,0.00141196
16,198.206,0.90592,0.65417,0.00841,0.84131,0.81703,0.91213,0.73119,0.68043,0.96808,0.0086,0.00140946,0.00140946,0.00140946
17,208.819,0.8412,0.61824,0.00793,0.79198,0.87331,0.88795,0.71341,0.70115,1.23513,0.00892,0.00140678,0.00140678,0.00140678
18,219.427,0.83674,0.60928,0.00775,0.87031,0.83659,0.90258,0.71453,0.80594,0.78678,0.01054,0.00140393,0.00140393,0.00140393
19,230.126,0.83986,0.61114,0.00812,0.88121,0.85612,0.9146,0.77358,0.75073,0.54363,0.00971,0.00140091,0.00140091,0.00140091
20,240.928,0.83302,0.62088,0.00789,0.86975,0.82085,0.90857,0.73784,0.70441,0.78161,0.00867,0.00139773,0.00139773,0.00139773
21,252.148,0.8644,0.63078,0.00864,0.81412,0.82119,0.90044,0.75752,0.72086,1.02157,0.00848,0.00139438,0.00139438,0.00139438
22,263.156,0.81624,0.54467,0.00775,0.85825,0.8796,0.92338,0.77508,0.676,0.5687,0.00804,0.00139086,0.00139086,0.00139086
23,273.754,0.82726,0.54697,0.00783,0.86523,0.83047,0.89638,0.72535,0.65961,0.91903,0.00826,0.00138718,0.00138718,0.00138718
